Twitter Account,Tweet,Tweet Date,Signal Generation Date,Signal Message,Token Mentioned,Token ID,Price at Tweet,Highest price in a day,Highest price in a week,Highest price in a month,Current Price,TP1,TP2,SL,Exit Price,P&L
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1899575921000264064,2025-03-11T21:39:26.000Z,2025-03-19T10:47:35.688Z,Buy,TRISIG,tri-sigma,0.004815515545077587,,,,0.0036784026565517794,0.004815,0.012061,0.0035,N/A,N/A
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1901959279596454300,2025-03-18T11:30:03.000Z,2025-03-19T10:47:45.868Z,Hold,TRISIG,tri-sigma,0.004095915681041144,,,,0.0036784026565517794,0.004,0.0043,0.0034,N/A,N/A
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1901959279596454300,2025-03-18T11:30:03.000Z,2025-03-19T10:47:57.613Z,Buy,FTON,fanton-token,0.0008108075034179296,,,,0.0008621439451970043,0.00095,0.001,0.00075,0.0010553597432098477,30.16%
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1901998950846251429,2025-03-18T14:07:41.000Z,2025-03-19T10:48:11.282Z,Buy,MEMEFI,memefi-2,0.0009856507012560752,,,,0.0010677816318697137,0.001228,0.001388,0.001,N/A,N/A
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1901998950846251429,2025-03-18T14:07:41.000Z,2025-03-19T10:48:24.666Z,Buy,PGC,piggypiggycoin,0.00019054422383550464,,,,0.00020683436582654902,0.00025,0.0003,0.000185,0.00019970498670046548,4.81%
CryptoSlate,https://x.com/CryptoSlate/status/1902303377767460870,2025-03-19T10:17:23.000Z,2025-03-19T10:49:06.616Z,Buy,BTC,bitcoin,82780.03048688271,,,,82780.03048688271,84205,88065,79205,85446.81167800746,3.22%
holdersignals,https://x.com/holdersignals/status/1897733278452666835,2025-03-06T19:37:26.000Z,2025-03-19T10:49:39.199Z,Buy,CHEEMS,cheems-token,8.723644177221685e-7,,,,0.0000013800002319536816,0.00000153,0.00000168,0.00000129,N/A,N/A
holdersignals,https://x.com/holdersignals/status/1898468240210182145,2025-03-08T20:17:54.000Z,2025-03-19T10:49:54.902Z,Buy,DEGO,dego-finance,2.0276167653582,,,,1.930381439136279,2.05,2.15,1.85,2.083131299308308,2.74%
holdersignals,https://x.com/holdersignals/status/1898468240210182145,2025-03-08T20:17:54.000Z,2025-03-19T10:50:08.452Z,Hold,ERN,ethernity-chain,2.1134065470118464,,,,1.4580001146714838,1.7,1.85,1.3,N/A,N/A
holdersignals,https://x.com/holdersignals/status/1898468240210182145,2025-03-08T20:17:54.000Z,2025-03-19T10:50:23.812Z,Buy,SLF,self-chain,0.24217642673726467,,,,0.2596864507698681,0.27,0.28,0.24,0.24,-0.90%
holdersignals,https://x.com/holdersignals/status/1898466567286874176,2025-03-08T20:11:16.000Z,2025-03-19T10:50:34.329Z,Buy,SLF,self-chain,0.24217642673726467,,,,0.2596864507698681,0.285,0.298,0.246,N/A,N/A
holdersignals,https://x.com/holdersignals/status/1898191346768241000,2025-03-08T01:57:38.000Z,2025-03-19T10:50:45.767Z,Hold,CHEEMS,cheems,0.0001512755897640147,,,,0.00014899295337091997,0.00015128,0.000155,0.000145,0.00014570620548727767,-3.68%
holdersignals,https://x.com/holdersignals/status/1902126615578210646,2025-03-18T22:34:59.000Z,2025-03-19T10:50:57.192Z,Buy,SUNDOG,sundog,0.06382241589373587,,,,0.06382241589373587,0.0702,0.077,0.0574,0.06249699964143486,-2.08%
holdersignals,https://x.com/holdersignals/status/1901773083234750734,2025-03-17T23:10:10.000Z,2025-03-19T10:51:07.082Z,Buy,SUNDOG,sundog,0.05554042644866547,,,,0.06382241589373587,0.07,0.08,0.05,0.06249699964143486,12.53%
CryptoDona7,https://x.com/CryptoDona7/status/1898009672998629454,2025-03-07T13:55:44.000Z,2025-03-19T10:52:09.192Z,Buy,NAKA,nakamoto-games,0.4164300249876579,,,,0.4021635459821543,0.44,0.47,0.38,0.38,-8.75%
CryptoDona7,https://x.com/CryptoDona7/status/1898008295903756416,2025-03-07T13:50:15.000Z,2025-03-19T10:52:22.150Z,Hold,CPOOL,clearpool,0.15456464852497112,,,,0.13695479553578946,0.1545,0.1743,0.1201,N/A,N/A
CryptoDona7,https://x.com/CryptoDona7/status/1898004902028136546,2025-03-07T13:36:46.000Z,2025-03-19T10:52:34.574Z,Buy,ETC,ethereum-classic,20.003553989009735,,,,17.704628028743794,25,37.89,15,17.948743931639584,-10.27%
CryptoDona7,https://x.com/CryptoDona7/status/1901761154810102178,2025-03-17T22:22:46.000Z,2025-03-19T10:52:45.415Z,Sell,SOL,solana,128.27980954134415,,,,125.34406014353017,160,170,175,N/A,N/A
fatpigsignals,https://x.com/fatpigsignals/status/1899529521528795473,2025-03-11T18:35:04.000Z,2025-03-19T10:53:19.545Z,Hold,BTC,bitcoin,82799.1080292053,,,,82780.03048688271,84205,88065,79205,82610.61750343916,-0.23%
CryptoWizardd,https://x.com/CryptoWizardd/status/1898000464131613065,2025-03-07T13:19:08.000Z,2025-03-19T10:54:12.171Z,Buy,ZIG,zignaly,0.08839765311728418,,,,0.08332613939091653,0.09,0.1,0.075,0.07943146215806177,-10.14%
CryptoWizardd,https://x.com/cryptocevo/status/1897987188765155395,2025-03-07T12:26:23.000Z,2025-03-19T10:54:22.300Z,Hold,ZIG,zignaly,0.08839765311728418,,,,0.08332613939091653,0.0995,0.266,0.075,0.08437719090322876,-4.55%
CryptoWizardd,https://x.com/cryptostasher/status/1898429528072126789,2025-03-08T17:44:05.000Z,2025-03-19T10:54:32.497Z,Buy,ZIG,zignaly,0.09352475191000759,,,,0.08332613939091653,0.0935,0.15,0.075,N/A,N/A
CryptoWizardd,https://x.com/CryptoWizardd/status/1898485768202371231,2025-03-08T21:27:33.000Z,2025-03-19T10:54:45.264Z,Sell,ETH,ethereum,2199.9995000805707,,,,1932.7964059050657,1850,1800,2000,N/A,N/A
CryptoWizardd,https://x.com/CryptoWizardd/status/1898485768202371231,2025-03-08T21:27:33.000Z,2025-03-19T10:55:01.316Z,Buy,NPC,npc,0.00001530467838358703,,,,0.00001530467838358703,0.00003,0.000045,0.00000765,0.00001779019876060063,16.24%
CryptoWizardd,https://x.com/godinnesss/status/1898475838506778712,2025-03-08T20:48:06.000Z,2025-03-19T10:55:15.439Z,Buy,BTC,bitcoin,86142.9833586432,,,,82780.03048688271,85000,88000,75000,N/A,N/A
CryptoWizardd,https://x.com/_CryptoSurf/status/1901954922771353915,2025-03-18T11:12:44.000Z,2025-03-19T10:55:35.069Z,Buy,DOGE,dogecoin,0.1736204186748998,,,,0.16827610995428421,0.175,0.185,0.155,0.1719555880398477,-0.96%
aixbt_agent,https://x.com/aixbt_agent/status/1898587051525865955,2025-03-09T04:10:01.000Z,2025-03-19T11:04:17.721Z,Buy,JTO,jito-governance-token,2.3252548438468175,,,,2.1600100461655045,2.62,2.85,2,2.1335363372367606,-8.25%
aixbt_agent,https://x.com/aixbt_agent/status/1898587052993864084,2025-03-09T04:10:02.000Z,2025-03-19T11:04:33.373Z,Hold,SOL,solana,136.88210638232243,,,,125.34406014353017,130,140,115,N/A,N/A
CryptoReviewing,https://x.com/CryptoReviewing/status/1902305447433928909,2025-03-19T10:25:36.000Z,2025-03-19T11:05:15.329Z,Buy,LINK,chainlink,13.928617348921703,,,,13.928617348921703,14.6,15,13.5,14.491127368714425,4.04%
CryptoReviewing,https://x.com/CryptoReviewing/status/1902040233257885955,2025-03-18T16:51:44.000Z,2025-03-19T11:05:32.067Z,Buy,RENDER,render-token,3.2255494601658357,,,,3.244836236717552,3.5,3.75,3,3.298189336016316,2.25%
CryptoReviewing,https://x.com/CryptoReviewing/status/1902040233257885955,2025-03-18T16:51:44.000Z,2025-03-19T11:05:44.053Z,Buy,INJ,injective-protocol,9.968700149535126,,,,9.69816645557752,12.06,14.1,8.1,9.785247284092982,-1.84%
CryptoReviewing,https://x.com/CryptoReviewing/status/1902040233257885955,2025-03-18T16:51:44.000Z,2025-03-19T11:05:59.512Z,Buy,ONDO,ondo-finance,0.8596525846286261,,,,0.8415565111328321,0.96,1.18,0.73,0.8628295744086498,0.37%
CryptoReviewing,https://x.com/CryptoReviewing/status/1902040233257885955,2025-03-18T16:51:44.000Z,2025-03-19T11:06:10.797Z,Buy,QUBIC,qubic-network,0.0000013123671475454198,,,,0.0000012422087466712307,0.00000135,0.00000145,0.0000011,0.0000011699866205523347,-10.85%
CryptoReviewing,https://x.com/CryptoReviewing/status/1901975491680121013,2025-03-18T12:34:28.000Z,2025-03-19T11:06:21.946Z,Buy,KAS,kaspa,0.07565528121046333,,,,0.07779846878795403,0.085,0.09,0.074,0.07893541883138237,4.34%
AltcoinSherpa,https://x.com/AltcoinSherpa/status/1898356764371730865,2025-03-08T12:54:57.000Z,2025-03-19T11:07:03.866Z,Buy,HYPE,hyperblast,0.004211425745571899,,,,0.003775071283562317,0.0045,0.005,0.0034,0.003880051036803684,-7.87%
AltcoinSherpa,https://x.com/AltcoinSherpa/status/1898356764371730865,2025-03-08T12:54:57.000Z,2025-03-19T11:07:15.040Z,Buy,AAVE,aave,197.11108832942142,,,,169.6477184993288,180,200,145,N/A,N/A
AltcoinSherpa,https://x.com/AltcoinSherpa/status/1898356764371730865,2025-03-08T12:54:57.000Z,2025-03-19T11:07:30.863Z,Buy,ENA,ethena,0.4280843990351928,,,,0.3684925061656005,0.4028,0.4415,0.345,N/A,N/A
AltcoinSherpa,https://x.com/AltcoinSherpa/status/1898356764371730865,2025-03-08T12:54:57.000Z,2025-03-19T11:07:47.410Z,Buy,MKR,maker,1304.3437849983545,,,,1277.9926011431526,1350,1420,1213,1213,-7.00%
AltcoinSherpa,https://x.com/AltcoinSherpa/status/1902313784913391936,2025-03-19T10:58:44.000Z,2025-03-19T11:08:00.031Z,Buy,CAKE,pancakeswap-token,2.59757392533027,,,,2.59757392533027,2.9,3.1,2.4,2.4143245838876197,-7.05%
TheCryptoKazi,https://x.com/TheCryptoKazi/status/1898420064036008439,2025-03-08T17:06:28.000Z,2025-03-19T11:08:39.002Z,Buy,HASHAI,hashai,0.00031663723235136464,,,,0.00029871761036757153,0.00035,0.0008,0.00025,0.00025,-21.05%
TheCryptoKazi,https://x.com/TheCryptoKazi/status/1898420064036008439,2025-03-08T17:06:28.000Z,2025-03-19T11:08:53.220Z,Buy,CAH,moon-tropica,2.601559449898598,,,,3.180626357082054,3.5,3.8,2.85,N/A,N/A
TheCryptoKazi,https://x.com/TheCryptoKazi/status/1898056891579683244,2025-03-07T17:03:21.000Z,2025-03-19T11:09:04.602Z,Buy,ETH,ethereum,2202.3207363495417,,,,1932.7964059050657,2100,2200,1800,N/A,N/A
dippy_eth,https://x.com/dippy_eth/status/1887125294521127160,2025-02-05T13:05:05.000Z,2025-03-19T11:09:43.715Z,Buy,LOCKIN,lock-in,0.019540501859684624,,,,0.0051621257128375035,0.007,0.01,0.004,N/A,N/A
dippy_eth,https://x.com/dippy_eth/status/1887125294521127160,2025-02-05T13:05:05.000Z,2025-03-19T11:09:59.477Z,Sell,NODE,nodez,0.0006055932291769373,,,,0,0,0,,N/A,N/A
dippy_eth,https://x.com/dippy_eth/status/1887125294521127160,2025-02-05T13:05:05.000Z,2025-03-19T11:10:10.871Z,Buy,CPAL,chainpal,0.18151466565531868,,,,0.11438254108045391,0.18,0.24,0.1,N/A,N/A
dippy_eth,https://x.com/dippy_eth/status/1887125294521127160,2025-02-05T13:05:05.000Z,2025-03-19T11:10:24.114Z,Buy,BERRY,berry,0.00022694734551311938,,,,0.00015696223073703966,0.000235,0.000314,0.000125,0.000218120673699173,-3.89%
dippy_eth,https://x.com/dippy_eth/status/1887125294521127160,2025-02-05T13:05:05.000Z,2025-03-19T11:10:41.993Z,Hold,HEDGE,hedgefi,0.0004242952928509603,,,,0.00033789300727725765,0.000421,0.000506,0.00027,N/A,N/A
dippy_eth,https://x.com/dippy_eth/status/1902297729100816560,2025-03-19T09:54:56.000Z,2025-03-19T11:11:02.306Z,Buy,ALCH,alchemist-ai,0.06476127740483242,,,,0.06476127740483242,0.08,0.2,0.055,0.055,-15.07%
Steve_Cryptoo,https://x.com/Steve_Cryptoo/status/1902046042645803455,2025-03-18T17:14:49.000Z,2025-03-19T11:12:01.587Z,Buy,LNQ,linqai,0.03203609391914744,,,,0.03137818737413583,0.03539,0.03643,0.03,0.03257457402510345,1.68%
Steve_Cryptoo,https://x.com/rovercrc/status/1902043069727264982,2025-03-18T17:03:00.000Z,2025-03-19T11:12:14.017Z,Buy,BTC,bitcoin,84075.36559694471,,,,82780.03048688271,84205,88065,79000,85446.81167800746,1.63%
Steve_Cryptoo,https://x.com/Steve_Cryptoo/status/1901920730666664009,2025-03-18T08:56:52.000Z,2025-03-19T11:12:29.181Z,Buy,ZIG,zignaly,0.08653930425304777,,,,0.08332613939091653,0.089,0.096,0.079,0.08437719090322876,-2.50%
cryptoo_doctor,https://x.com/cryptoo_doctor/status/1902295532636164432,2025-03-19T09:46:12.000Z,2025-03-19T11:13:18.493Z,Hold,VELO,velo,0.013655062332921067,,,,0.013655062332921067,0.015,0.017,0.0125,0.013884055081540832,1.68%
cryptoo_doctor,https://x.com/cryptoo_doctor/status/1902295532636164432,2025-03-19T09:46:12.000Z,2025-03-19T11:13:29.414Z,Hold,XLM,stellar,0.27307968408999317,,,,0.27307968408999317,0.28,0.3,0.23,0.2851329266513186,4.41%
Vader_AI_,https://x.com/Vader_AI_/status/1902077753949598176,2025-03-18T19:20:50.000Z,2025-03-19T11:13:54.488Z,Buy,VADER,vader-protocol,0.000015361597938621428,,,,0.000015361597938621428,0.00001843,0.00001997,0.00001459,0.000015378093177398788,0.11%
cryptostasher,https://x.com/cryptostasher/status/1898008977801125996,2025-03-07T13:52:58.000Z,2025-03-20T09:07:07.754Z,Buy,ZIG,zignaly,0.08839765311728418,,,,0.08552368251131263,0.0898,0.1,0.079,0.07943146215806177,-10.14%
cryptostasher,https://x.com/cryptostasher/status/1898476135840715138,2025-03-08T20:49:17.000Z,2025-03-20T09:07:27.321Z,Hold,BTC,bitcoin,86773.33597555371,,,,86815.44109470697,90000,95000,82000,82000,-5.50%
cryptostasher,https://x.com/cryptostasher/status/1898429528072126789,2025-03-08T17:44:05.000Z,2025-03-20T09:07:36.977Z,Buy,ZIG,zignaly,0.09352475191000759,,,,0.08552368251131263,0.0935,0.11,0.08,N/A,N/A
cryptostasher,https://x.com/cryptostasher/status/1898189510145413521,2025-03-08T01:50:20.000Z,2025-03-20T09:07:46.288Z,Buy,BTC,bitcoin,86773.33597555371,,,,86815.44109470697,88000,90000,82000,82000,-5.50%
cryptostasher,https://x.com/cryptostasher/status/1902284542167158968,2025-03-19T09:02:32.000Z,2025-03-20T09:08:05.542Z,Buy,ZIG,zignaly,0.08332613939091653,,,,0.08552368251131263,0.094,0.0983,0.08,0.08437719090322876,1.26%
Cryptobullmaker,https://x.com/Cryptobullmaker/status/1898588132398027046,2025-03-09T04:14:19.000Z,2025-03-20T09:08:20.727Z,Buy,AST,astra-2,0.0004426217471499729,,,,0.0004218320812092959,0.000464,0.000506,0.00038,0.0005375392354823141,21.44%
Cryptobullmaker,https://x.com/Cryptobullmaker/status/1898589002195927043,2025-03-09T04:17:46.000Z,2025-03-20T09:08:33.994Z,Buy,AST,astra-2,0.0004426217471499729,,,,0.0004218320812092959,0.00046,0.0005,0.00035,0.0005375392354823141,21.44%
Cryptobullmaker,https://x.com/Cryptobullmaker/status/1898523560450412776,2025-03-08T23:57:44.000Z,2025-03-20T09:09:16.129Z,Buy,AST,astra-2,0.0004404115312319305,,,,0.0004218320812092959,0.00045,0.0005,0.0004,0.0005375392354823141,22.05%
Cryptobullmaker,https://x.com/Cryptobullmaker/status/1898420861599965546,2025-03-08T17:09:39.000Z,2025-03-20T09:09:35.562Z,Buy,AST,airswap,0.04977073022184182,,,,0.047336075924531165,0.05,0.055,0.043,0.043,-13.60%
Cryptobullmaker,https://x.com/Cryptobullmaker/status/1898420861599965546,2025-03-08T17:09:39.000Z,2025-03-20T09:09:49.947Z,Buy,PROS,prosper,0.5877242747237433,,,,0.474754002907855,0.5,0.55,0.45,N/A,N/A
Cryptobullmaker,https://x.com/Cryptobullmaker/status/1898342321181319520,2025-03-08T11:57:33.000Z,2025-03-20T09:09:59.537Z,Buy,AST,airswap,0.04977073022184182,,,,0.047336075924531165,0.04977,0.05207,0.044,N/A,N/A
Cryptobullmaker,https://x.com/Cryptobullmaker/status/1898342321181319520,2025-03-08T11:57:33.000Z,2025-03-20T09:10:09.285Z,Hold,PROS,prosper,0.5877242747237433,,,,0.474754002907855,0.5,0.55,0.45,N/A,N/A
Cryptobullmaker,https://x.com/Cryptobullmaker/status/1902346240391549128,2025-03-19T13:07:42.000Z,2025-03-20T09:10:22.357Z,Buy,AST,airswap,0.04672361647727621,,,,0.047336075924531165,0.0497,0.05207,0.04581,0.04654728888918442,-0.38%
Cryptobullmaker,https://x.com/Cryptobullmaker/status/1902346240391549128,2025-03-19T13:07:42.000Z,2025-03-20T09:10:34.387Z,Buy,VIDT,vidt-dao,0.012350076184883211,,,,0.0123857167556905,0.0136,0.0152,0.0118,0.015118372702047836,22.42%
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1898004492236603820,2025-03-07T13:35:08.000Z,2025-03-20T09:10:48.415Z,Buy,LNQ,linqai,0.04462945039915064,,,,0.033314978705175476,0.035688343,0.036432911,0.028,N/A,N/A
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1897988294547521689,2025-03-07T12:30:46.000Z,2025-03-20T09:11:00.265Z,Hold,BTC,bitcoin,90001.40087607042,,,,86815.44109470697,88300,89500,84500,N/A,N/A
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1897691548344820121,2025-03-06T16:51:37.000Z,2025-03-20T09:11:15.627Z,Buy,ZIG,zignaly,0.09090202561187435,,,,0.08552368251131263,0.1265,0.1764,0.07,0.08437719090322876,-7.18%
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1897664434518347820,2025-03-06T15:03:52.000Z,2025-03-20T09:11:28.358Z,Buy,VANRY,vanar-chain,0.03380977244952896,,,,0.03013571990003715,0.035,0.04,0.025,0.025,-26.06%
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1898400262714483084,2025-03-08T15:47:47.000Z,2025-03-20T09:11:39.804Z,Buy,NFP,nfprompt-token,0.09569035518982646,,,,0.0882111696786944,0.095,0.1,0.075,N/A,N/A
CryptoGemRnld,https://x.com/nfprompt/status/1898354385476067652,2025-03-08T12:45:29.000Z,2025-03-20T09:11:58.652Z,Buy,NFP,nfprompt-token,0.09569035518982646,,,,0.0882111696786944,0.095,0.1,0.08,N/A,N/A
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1898121722395824173,2025-03-07T21:20:58.000Z,2025-03-20T09:12:10.708Z,Buy,TRISIG,tri-sigma,0.004222263057579084,,,,0.004066028956516674,0.0061,0.0081,0.00366,0.00366,-13.32%
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1898121722395824173,2025-03-07T21:20:58.000Z,2025-03-20T09:12:30.179Z,Buy,STNK,stonks-4,16.3644044306122,,,,17.398437200227086,27,34.8,15,15,-8.34%
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1902383795338420735,2025-03-19T15:36:56.000Z,2025-03-20T09:12:41.975Z,Buy,ZIG,zignaly,0.08332613939091653,,,,0.08552368251131263,0.098,0.112,0.078,0.08437719090322876,1.26%
KAPOTHEGOAT01,https://x.com/KAPOTHEGOAT01/status/1902474484432753079,2025-03-19T21:37:18.000Z,2025-03-20T09:13:02.420Z,Buy,DEXTF,dextf,0.09863962716985708,,,,0.10561426741265148,0.1215,0.132,0.095,0.1273594933238174,29.12%
holdersignals,https://x.com/holdersignals/status/1897733278452666835,2025-03-06T19:37:26.000Z,2025-03-20T09:13:20.449Z,Buy,CHEEMS,cheems-token,8.368644578060407e-7,,,,0.0000013768920239760848,0.00000168,0.00000185,0.00000121,N/A,N/A
holdersignals,https://x.com/holdersignals/status/1898468240210182145,2025-03-08T20:17:54.000Z,2025-03-20T09:13:33.239Z,Buy,DEGO,dego-finance,1.9664869907448115,,,,1.9136986051735827,2.12,2.44,1.92,2.083131299308308,5.93%
holdersignals,https://x.com/holdersignals/status/1898468240210182145,2025-03-08T20:17:54.000Z,2025-03-20T09:13:50.245Z,Hold,ERN,ethernity-chain,1.8877640643898712,,,,1.4327517414269528,1.5,1.65,1.35,N/A,N/A
holdersignals,https://x.com/holdersignals/status/1898468240210182145,2025-03-08T20:17:54.000Z,2025-03-20T09:14:01.858Z,Buy,SLF,self-chain,0.22010714272184848,,,,0.26794081030399614,0.3,0.32,0.24,N/A,N/A
holdersignals,https://x.com/holdersignals/status/1898466567286874176,2025-03-08T20:11:16.000Z,2025-03-20T09:14:13.300Z,Buy,SLF,self-chain,0.22010714272184848,,,,0.26794081030399614,0.3,0.35,0.24,N/A,N/A
holdersignals,https://x.com/holdersignals/status/1898191346768241000,2025-03-08T01:57:38.000Z,2025-03-20T09:14:27.468Z,Hold,CHEEMS,cheems,0.0001512755897640147,,,,0.00014877861520438984,0.000151,0.000155,0.00014,N/A,N/A
holdersignals,https://x.com/holdersignals/status/1902616219217489936,2025-03-20T07:00:30.000Z,2025-03-20T09:14:41.938Z,Buy,MDT,measurable-data-token,0.029144944288290824,,,,0.029144944288290824,0.035,0.04,0.027,0.02976459306002583,2.13%
